Judging,,,,,,,,,
Time,Room 1,Room 2,Room 3,Room 4,Room 5,Room 6,Room 7,Room 8
08:15,1,2,3,4,5,6,7,8
09:00,9,10,11,12,13,14,15,16
09:45,17,18,19,20,21,22,23,24
10:30,25,26,27,28,29,30,31,32
11:15,33,34,35,36,37,38,39,40
12:00,41,42,43,44,45,46,47,48
,,,,,,,,
Practice,,,,,,,,
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,25,26,27,28,29,30,31,32
09:12,17,18,19,20,21,22,23,24
09:24,33,34,35,36,37,38,39,40
09:36,41,42,43,44,45,46,47,48
09:48,28,29,30,31,32,25,26,27
10:00,1,2,3,4,5,6,7,8
10:12,9,10,11,12,13,14,15,16
10:24,36,37,38,39,40,33,34,35
10:36,20,21,22,23,24,17,18,19
10:48,44,45,46,47,48,41,42,43
11:00,4,5,6,7,8,1,2,3
11:12,12,13,14,15,16,9,10,11
,,,,,,,,
Table,,,,,,,,
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,6,14,8,19,44,3,31,29
14:08,17,23,11,27,5,47,18,20
14:16,45,41,13,38,34,4,9,40
14:25,43,7,32,33,16,30,28,25
14:33,24,46,39,10,1,2,35,21
14:41,12,42,36,37,48,22,15,26
14:50,14,20,40,47,5,44,33,31
14:58,24,13,29,17,18,6,7,35
15:06,39,1,8,45,19,9,30,26
15:15,37,2,3,11,41,21,27,28
15:23,34,36,23,43,25,48,38,15
15:31,22,42,10,32,46,12,4,16
15:40,47,14,19,18,20,11,30,41
15:48,26,40,7,1,33,8,17,13
15:56,22,37,38,44,35,5,4,31
16:05,16,43,45,46,21,25,12,10
16:13,29,24,27,3,2,34,32,6
16:21,42,23,28,39,48,36,9,15
